nr_empenho;nr_liquidac;dia;mes;ano;valor;operacao;historico;existe_contrato;nr_contrato_tce;nr_contrato;ano_contrato;existe_nf;nr_nf;serie_nf;tipo_contrato
0201900000080;00000000000000000037;14;1;2019;268,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.143-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000081;00000000000000000038;14;1;2019;370,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.770-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000082;00000000000000000039;14;1;2019;359,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.137-6 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000083;00000000000000000040;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.681-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000084;00000000000000000041;14;1;2019;400,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.755-7 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000085;00000000000000000042;14;1;2019;268,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.110-4 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000086;00000000000000000043;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.650-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000087;00000000000000000044;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.734-4 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000088;00000000000000000045;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.709-3 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000089;00000000000000000046;14;1;2019;325,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.739-5 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000090;00000000000000000047;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.713-1 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000091;00000000000000000048;14;1;2019;268,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.812-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000092;00000000000000000049;14;1;2019;316,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.695-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000093;00000000000000000050;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.727-1 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000094;00000000000000000051;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.676-3 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000095;00000000000000000052;14;1;2019;268,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.776-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000096;00000000000000000053;14;1;2019;342,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.819-7 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000097;00000000000000000054;14;1;2019;311,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.194-5 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000098;00000000000000000055;14;1;2019;268,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.188-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000099;00000000000000000056;14;1;2019;273,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796.235-6 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000100;00000000000000000057;14;1;2019;268,00;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.789-1 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000101;00000000000000000058;14;1;2019;543,50;000000000000000000000000000000;"AUXILIO NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0795.759-0 REF. EXERCICIO 2019. PARC. No /120.";N;0;"                    ";0;X;0;"   ";X
0201900000151;00000000000000000110;18;1;2019;418,00;000000000000000000000000000000;"DIARIAS PARA VIAGENS REALIZADAS PARA TRANSPORTE DE PACIENTES ENCAMINHADOS PELA SECR. DE SAUDE PARA CONSULTAS E EXAMES EM DIVERSAS ESPECIALIDADES NOS MUNICIPIOS DA REGIAO E CAPITAL E FORA DO ESTADO NO EXERCICIO 2019 CONF RD 03 EM ANEXO NE 148.";X;0;"                    ";0;X;0;"   ";X
0201900000153;00000000000000000111;18;1;2019;2.089,50;000000000000000000000000000000;"DIARIAS PARA VIAGENS REALIZADAS PARA TRANSPORTE DE PACIENTES ENCAMINHADOS PELA SECR. DE SAUDE PARA CONSULTAS E EXAMES EM DIVERSAS ESPECIALIDADES NOS MUNICIPIOS DA REGIAO E CAPITAL E FORA DO ESTADO NO EXERCICIO 2019 CONF RD 03 EM ANEXO NE 148.";X;0;"                    ";0;X;0;"   ";X
0201900000151;00000000000000000112;18;1;2019;1.393,00;000000000000000000000000000000;"DIARIAS PARA VIAGENS REALIZADAS PARA TRANSPORTE DE PACIENTES ENCAMINHADOS PELA SECR. DE SAUDE PARA CONSULTAS E EXAMES EM DIVERSAS ESPECIALIDADES NOS MUNICIPIOS DA REGIAO E CAPITAL E FORA DO ESTADO NO EXERCICIO 2019 CONF RD 03 EM ANEXO NE 148.";X;0;"                    ";0;X;0;"   ";X
0201900000153;00000000000000000113;18;1;2019;418,00;000000000000000000000000000000;"DIARIAS PARA VIAGENS REALIZADAS PARA TRANSPORTE DE PACIENTES ENCAMINHADOS PELA SECR. DE SAUDE PARA CONSULTAS E EXAMES EM DIVERSAS ESPECIALIDADES NOS MUNICIPIOS DA REGIAO E CAPITAL E FORA DO ESTADO NO EXERCICIO 2019 CONF RD 03 EM ANEXO NE 148.";X;0;"                    ";0;X;0;"   ";X
0201900000219;00000000000000000114;11;1;2019;209,00;000000000000000000000000000000;"1/4 DE DIARIA A IJUI NO DIA 14.01.18 LEVAR PACIENTES PARA REALIZAR CONSULTAS/EXAMES CONF SD 25 EM ANEXO.";X;0;"                    ";0;X;0;"   ";X
0201900000229;00000000000000000658;8;2;2019;962,50;000000000000000000000000000000;"MAO DE OBRA PARA MANUTENCAO DA PARTE ELETRICA DOS ONIBUS DO TRANSPORTE ESCOLAR CONF RD 32 EM ANEXO.   PROCESSO 08/18 EDITAL 06/18 PREGAO 04/18 SRP 03/18";N;0;"                    ";0;S;46;"1  ";X
0201900000228;00000000000000000659;8;2;2019;4.500,00;000000000000000000000000000000;"MATERIAL PARA MANUTENCAO DA PARTE ELETRICA DOS ONIBUS DO TRANSPORTE ESCOLAR CONF RD 31 EM ANEXO.   PROCESSO 08/18 EDITAL 06/18 PREGAO 04/18 SRP 03/18";N;0;"                    ";0;S;22876191;890;X
0201900000668;00000000000000000660;8;2;2019;1.835,00;000000000000000000000000000000;"MATERIAIS PARA MANUTENCAO DA REDE DE ABASTECIMENTO DE AGUA RURAL DO MUNICIPIO CONF RD 89 EM ANEXO.  PROCESSO No 02/19 EDITAL No 02/19 PREGAO No 02/19 SRP No 01/19";N;0;"                    ";0;S;2280;"1  ";X
0201900000227;00000000000000000661;8;2;2019;16.595,00;000000000000000000000000000000;"CAMARAS E PROTETORES PARA SUBSTITUICAO NAS MAQUINAS E EQUIPAMENTOS DA SECR. DE OBRAS CONF RD 22 EM ANEXO.  PROCESSO 32/18 EDITAL 17/18 PREGAO 14/18 SRP 11/18";N;0;"                    ";0;S;20133;"2  ";X
0201900000205;00000000000000000662;8;2;2019;650,00;000000000000000000000000000000;"SERVICOS MECANICOS PARA CONSERTO DO VEICULO SIENA PLACA IYB 5464 CONF RD 02 EM ANEXO NE 204.";N;0;"                    ";0;S;6970;"1  ";X
0201900000238;00000000000000000116;11;1;2019;600,00;000000000000000000000000000000;"SUBSTITUICAO DE REFIL DO BEBEDOURO DO PALACIO MUNICIPAL CONF RD 11 E RECIBO No 304 EM ANEXO.  DESPESA SEM EMPENHO PREVIO DOC. EMIT. EM 09.01.19";N;0;"                    ";0;S;304;"0  ";X
0201900000184;00000000000000000076;7;1;2019;209,00;000000000000000000000000000000;"1/4 DE DIARIA A IJUI NO DIA 04.01.19 LEVAR MUNINCIPE PARA EXAME PERICIAL CONF SD 43 E PEDIDO 01 EM ANEXO.  DESPESA SEM EMPENHO PREVIO.";X;0;"                    ";0;X;0;"   ";X
0201900000189;00000000000000000078;8;1;2019;2.786,50;000000000000000000000000000000;"02 DIARIAS A PORTO ALEGRE NO DIA 31.01 E 01.02.19 PARA CURSO DE SINDICANCIA E PROCESSO ADMINISTRATIVO DISCIPLINAR: TEORIA E PRATICA, JUNTO A DPM CONF SD 14 EM ANEXO.";X;0;"                    ";0;X;0;"   ";X
0201900000190;00000000000000000079;8;1;2019;2.786,50;000000000000000000000000000000;"02 DIARIAS A PORTO ALEGRE NO DIA 31.01 E 01.02.19 PARA CURSO DE SINDICANCIA E PROCESSO ADMINISTRATIVO DISCIPLINAR: TEORIA E PRATICA, JUNTO A DPM CONF SD 15 EM ANEXO.";X;0;"                    ";0;X;0;"   ";X
0201900000191;00000000000000000080;8;1;2019;2.786,50;000000000000000000000000000000;"02 DIARIAS A PORTO ALEGRE NO DIA 31.01 E 01.02.19 PARA CURSO DE SINDICANCIA E PROCESSO ADMINISTRATIVO DISCIPLINAR: TEORIA E PRATICA, JUNTO A DPM CONF SD 16 EM ANEXO.";X;0;"                    ";0;X;0;"   ";X
0201900001222;00000000000000001215;27;2;2019;506.149,00;000000000000000000000000000000;"CONTRIB  AO  FPSM  PARTE  PATRONAL   17,68% REF. REMUNERACAO FEVEREIRO/2019";N;0;"                    ";0;X;0;"   ";X
0201900000044;00000000000000001216;28;2;2019;2.993,50;000000000000000000000000000000;"ENERGIA ELETRICA UTILIZADA NA ILUMINACAO PUBLICA, NO EXERCICIO 2019.  MES:   FAT. No:   No CONOSCO: 13274  CONSUMO:";N;0;"                    ";0;S;405768;"U  ";X
0201900000041;00000000000000001217;28;2;2019;109,00;000000000000000000000000000000;"ENERGIA ELETRICA UTILIZADA NA ESCOLA MUNICIPAL PRIMEIRO DE MAIO, NO EXERCICIO 2019.   MES:  FAT. No:   No CONOSCO: 7852  CONSUMO:";N;0;"                    ";0;S;406786;"U  ";X
0201900000042;00000000000000001218;28;2;2019;148,50;000000000000000000000000000000;"ENERGIA ELETRICA UTILIZADA NO ESF DE ESQUINA ARAUJO, NO EXERCICIO 2019.  MES:   FAT. No:   No CONOSCO: 7854   CONSUMO:";N;0;"                    ";0;S;405154;"U  ";X
0201900000043;00000000000000001219;28;2;2019;134,00;000000000000000000000000000000;"ENERGIA ELETRICA UTILIZADA NO ESF DE SAO VALENTIM, NO EXERCICIO 2019.  MES:   FAT. No:   No CONOSCO: 7855   CONSUMO:";N;0;"                    ";0;S;405040;"U  ";X
0201900000020;00000000000000001220;4;3;2019;693,50;000000000000000000000000000000;"TARIFA DE AGUA E ESGOTO REF. AO IMOVEL COM MATRICULA DA CORSAN No 1572026-8 NO EXERCICIO 2019.  REF. MES:   CONSUMO M³:";N;0;"                    ";0;S;201902;"F  ";X
0201900000021;00000000000000001221;4;3;2019;516,00;000000000000000000000000000000;"TARIFA DE AGUA E ESGOTO REF. AO IMOVEL COM MATRICULA DA CORSAN No 1571968-5 NO EXERCICIO 2019.  REF. MES:   CONSUMO M³:";N;0;"                    ";0;S;201902;"F  ";X
0201900000022;00000000000000001222;4;3;2019;279,00;000000000000000000000000000000;"TARIFA DE AGUA E ESGOTO REF. AO IMOVEL COM MATRICULA DA CORSAN No 1571970-7 NO EXERCICIO 2019.  REF. MES:   CONSUMO M³:";N;0;"                    ";0;S;201902;"F  ";X
0201900001483;00000000000000008263;11;10;2019;970,00;000000000000000000000000000000;"CESTAS BASICAS PARA FORNECIMENTO DE BENEFICIOS EVENTUAIS A FAMILIAS EM SITUACAO DE VULNERABILIDADE SOCIAL CONF RD 260 E CONTRATO No 29/2019 EM ANEXO NE 1480.  PROCESSO No 30/19 EDITAL No 16/19 PREGAO No 16/19";S;29;"32                  ";2019;S;1728;"1  ";C
0201900001482;00000000000000008264;11;10;2019;897,50;000000000000000000000000000000;"GENEROS ALIMENTICIOS PARA ELABORACAO DE LANCHES AOS PROJETOS DESENVOLVIDOS NO CRAS - IDOSOS CONF RD 256 E CONTRATO No 29/2019 EM ANEXO NE 1480.  PROCESSO No 30/19 EDITAL No 16/19 PREGAO No 16/19";S;29;"32                  ";2019;S;1726;"1  ";C
0201900004525;00000000000000008265;11;10;2019;2.553,00;000000000000000000000000000000;"GENEROS ALIMENTICIOS PARA ELABORACAO DE LANCHES AOS PROJETOS DESENVOLVIDOS NO CRAS - IDOSOS CONF CONTRATO No 29/2019 E TERMO ADITIVO No 001/19 EM ANEXO.  PROCESSO No 30/19 EDITAL No 16/19 PREGAO No 16/19";S;29;"32                  ";2019;S;1726;"1  ";C
0201900005565;00000000000000008266;11;10;2019;7.445,00;000000000000000000000000000000;"PECAS PARA SUBSTITUICAO NO ONIBUS No 69 DA FROTA DO TRANSPORTE ESCOLAR CONF RD 271 EM ANEXO.  NE 5565 = R$ 2.978,00  NE 5566 = R$  600,00";N;0;"                    ";0;S;183;"1  ";X
0201900005565;00000000000000008267;11;10;2019;7.445,00;000000000000000000000000000000;"PECAS PARA SUBSTITUICAO NO ONIBUS No 69 DA FROTA DO TRANSPORTE ESCOLAR CONF RD 271 EM ANEXO.  NE 5565 = R$ 2.978,00  NE 5566 = R$  600,00";N;0;"                    ";0;S;182;"1  ";X
0201900005566;00000000000000008268;11;10;2019;1.500,00;000000000000000000000000000000;"MAO DE OBRA PARA CONSERTO DO ONIBUS No 69 DA FROTA DO TRANSPORTE ESCOLAR CONF RD 271 EM ANEXO NE 5565.";N;0;"                    ";0;S;380;"1  ";X
0201900005566;00000000000000008269;11;10;2019;1.500,00;000000000000000000000000000000;"MAO DE OBRA PARA CONSERTO DO ONIBUS No 69 DA FROTA DO TRANSPORTE ESCOLAR CONF RD 271 EM ANEXO NE 5565.";N;0;"                    ";0;S;381;"1  ";X
0201900001490;00000000000000008270;11;10;2019;72,00;000000000000000000000000000000;"SERVICOS NOTARIAIS E REGISTRAIS PARA O EXERCICIO 2019 CONF RD 289 EM ANEXO.";N;0;"                    ";0;S;28303;"0  ";X
0201900000880;00000000000000008271;11;10;2019;611,00;000000000000000000000000000000;"GENEROS ALIMENTICIOS PARA ELABORACAO DE ALMOCO AOS SERVIDORES QUE SE DESLOCAM PARA AS COMUNIDADES INTERIORANAS DO MUNICIPIO CONF RD 164 E CONTRATO No 014/2019 EM ANEXO NE 876.  PROCESSO No 09/19 EDITAL No 06/19 PREGAO No 06/19";S;14;"17                  ";2019;S;4011;"1  ";C
0201900000273;00000000000000008272;11;10;2019;350,00;000000000000000000000000000000;"GAS DE COZINHA 13 KG. PARA O PALACIO MUNICIPAL NO EXERCICIO 2019 CONF RD 46 E CONTRATO No 01/2019 EM ANEXO NE 264.   PROCESSO No 01/2019 PREGAO 01/2019 EDITAL 01/2019";S;1;"2                   ";2019;S;2307;"11 ";C
0201900003091;00000000000000008273;11;10;2019;500,00;000000000000000000000000000000;"MATERIAL DE CONSTRUCAO PARA ATENDIMENTO AS NECESSIDADES BASICAS DE MORADIA E SANEAMENTO BASICO A GRUPO FAMILIAR EM SITUACAO DE VULNERABILIDADE, ASSISTIDO PELA EQUIPE TECNICA DO CRAS CONF RD 27 EM ANEXO NE 3088.";N;0;"                    ";0;S;1942;"1  ";X
0201900002049;00000000000000008274;11;10;2019;350,00;000000000000000000000000000000;"GAS DE COZINHA 13 KG. PARA A ASSISTENCIA SOCIAL - CENTRO DE CONVIVENCIA DO IDOSO (SALAO VERDE) NO EXERCICIO 2019 CONF RD 45 E CONTRATO No 01/2019 EM ANEXO NE 264.  PROCESSO 001/19 EDITAL 001/19 PREGAO 001/19  NE TRANSPOSTA DA NE 272.";S;1;"2                   ";2019;S;2306;"11 ";C
0201900005624;00000000000000008275;9;10;2019;2.786,50;000000000000000000000000000000;"02 DIARIAS A PORTO ALEGRE NO DIA 30 E 31.10.19 PARA PARTICIPAR DO  CURSO ""ALVARA- APLICACAO DA LEI DA LIBERDADE  ECONOMICA, RESOLUCOES CGSIM, LEGISLACOES DE LICENCIAMENTO E COBRANCA DE TAXAS"" NA FAMURS CONF SD 953 EM ANEXO.";X;0;"                    ";0;X;0;"   ";X
0201900005527;00000000000000008276;11;10;2019;6.080,00;000000000000000000000000000000;"PNEUS PARA SUBSTITUICAO NAS MAQUINAS E EQUIPAMENTOS DA SECR. DE OBRAS CONF RD 959 EM ANEXO.  PROCESSO 58/19 EDITAL 30/19 PREGAO 28/19 SRP 18/19";N;0;"                    ";0;S;3070;"1  ";X
