orgao;uniorcam;funcao;subfuncao;programa;projativ;ndo;ndo_f;rv;contrapartida;nr_empenho;dia;mes;ano;valor;credor;cp;reg_preco;nr_licitacao;ano_licitacao;historico;forma_contrat;base_legal;desp_func;licit_compart;cnpj_gerenciador;ano_empenho
5;502;12;361;2;2018;339039580100000;"33 90 39 58 01 00 00";20;0;0201900000011;2;1;2019;1.978,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA  LINHA 3539-1131 DA E.M.E.F. PRESIDENTE GETULIO VARGAS NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
8;801;10;301;6;2059;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000012;2;1;2019;816,50;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA LINHA 3539-1107 DO ESF 02 NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
8;801;10;302;8;2065;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000013;2;1;2019;979,50;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA  LINHA  3539-1118  DO PRONTO ATENDIMENTO NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
8;801;10;122;5;2049;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000014;2;1;2019;2.402,50;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA  LINHA 3539-1440 DA SECR. DE SAUDE NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
8;801;10;301;6;2059;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000015;2;1;2019;677,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA LINHA 3539-1495 DO ESF 01 NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
8;801;10;122;5;2049;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000016;2;1;2019;523,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS ATRAVES DA LINHA 3539-1533 DA FARMACIA NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
8;801;10;305;7;2073;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000017;2;1;2019;744,00;149;0;N;0;0;"LIGACOES   TELEFONICAS  REALIZADAS  ATRAVES  DA  LINHA  3539-1534  DA  VIG. EPIDEMIOLOGICA NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
8;801;10;122;5;2049;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000018;2;1;2019;1.780,50;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA  LINHA 3539-1535 DO SETOR DE COMPRAS DA SEC. DE SAUDE NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
3;301;4;122;1;2003;339039580100000;"33 90 39 58 01 00 00";1;0;0201900000019;2;1;2019;7.855,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA  LINHA  3539-4200 DO PALACIO MUNICIPAL NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
3;301;4;122;1;2003;339039440000000;"33 90 39 44 00 00 00";1;0;0201900000020;2;1;2019;9.900,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1572026-8 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
6;601;26;122;1;2032;339039440000000;"33 90 39 44 00 00 00";1;0;0201900000021;2;1;2019;6.000,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1571968-5 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
7;701;15;122;1;2038;339039440000000;"33 90 39 44 00 00 00";1;0;0201900000022;2;1;2019;3.600,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1571970-7 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
5;503;27;812;3;2029;339039440000000;"33 90 39 44 00 00 00";1;0;0201900000023;2;1;2019;9.000,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1572025-0 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
9;901;8;122;11;2075;339039440000000;"33 90 39 44 00 00 00";1;0;0201900000024;2;1;2019;9.600,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1572027-6 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
10;1001;20;122;1;2090;339039440000000;"33 90 39 44 00 00 00";1;0;0201900000025;2;1;2019;4.200,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1572111-6 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
5;503;27;812;3;2029;339039440000000;"33 90 39 44 00 00 00";1;0;0201900000026;2;1;2019;15.000,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1572168-0 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
9;902;8;241;11;2077;339039440000000;"33 90 39 44 00 00 00";1;0;0201900000027;2;1;2019;3.000,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1577919-0 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
2;204;8;243;11;2009;339039440000000;"33 90 39 44 00 00 00";1;0;0201900000028;2;1;2019;3.600,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 2020046-3 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
5;502;12;361;2;2018;339039440000000;"33 90 39 44 00 00 00";20;0;0201900000029;2;1;2019;30.000,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1577994-7 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
5;504;12;782;2;2031;339039440000000;"33 90 39 44 00 00 00";20;0;0201900000030;2;1;2019;4.200,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1571966-9 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
5;502;12;365;2;2022;339039440000000;"33 90 39 44 00 00 00";20;0;0201900000031;2;1;2019;16.800,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1571928-6 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
8;801;10;302;8;2065;339039440000000;"33 90 39 44 00 00 00";40;0;0201900000032;2;1;2019;30.000,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1578091-0 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
8;801;10;301;6;2059;339039440000000;"33 90 39 44 00 00 00";40;0;0201900000033;2;1;2019;3.600,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 1571697-0 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
8;801;10;301;6;2059;339039440000000;"33 90 39 44 00 00 00";40;0;0201900000034;2;1;2019;3.900,00;223;0;N;0;0;"TARIFA  DE  AGUA  E  ESGOTO  REF.  AO  IMOVEL  COM  MATRICULA  DA CORSAN No 2448726-0 NO EXERCICIO 2019. REF. MES: CONSUMO M³:";DPV;1;X;X;00000000000000;2019
2;201;4;122;1;2004;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000035;2;1;2019;34.428,00;5296;0;N;0;0;"INTERNET    UTILIZADA    PELO  GABINETE  E  SETORES  NO  EXERCICIO  2019. VALOR MENSAL = R$ 573,80 FAT. MES:";DPV;1;X;X;00000000000000;2019
2;201;4;122;1;2004;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000035;6;8;2019;11.476,00;5296;0;N;0;0;"ENCERRAMENTO DE CONTRATO NA DATA DE 06/07/2019.";DPV;1;X;X;00000000000000;2019
3;301;4;126;1;2011;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000036;2;1;2019;9.833,00;5296;0;N;0;0;"INTERNET UTILIZADA PELO SETOR DE TI NO EXERCICIO 2019. VALOR MENSAL = R$ 163,89 FAT. MES:";DPV;1;X;X;00000000000000;2019
3;301;4;126;1;2011;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000036;6;8;2019;3.277,50;5296;0;N;0;0;"ENCERRAMENTO DE CONTRATO NA DATA DE 06/07/2019.";DPV;1;X;X;00000000000000;2019
4;401;4;123;1;2015;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000037;2;1;2019;63.928,50;5296;0;N;0;0;"INTERNET  UTILIZADA  PELA  SECR.  DA FAZENDA E SETORES NO EXERCICIO 2019. VALOR MENSAL = R$ 1.065,48 FAT. MES:";DPV;1;X;X;00000000000000;2019
4;401;4;123;1;2015;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000037;6;8;2019;21.309,50;5296;0;N;0;0;"ENCERRAMENTO DE CONTRATO NA DATA DE 06/07/2019.";DPV;1;X;X;00000000000000;2019
10;1001;20;122;1;2090;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000038;2;1;2019;19.667,00;5296;0;N;0;0;"INTERNET UTILIZADA PELA SECR. DE AGRICULTURA E SETORES NO EXERCICIO 2019. VALOR MENSAL = R$ 327,79 FAT. MES:";DPV;1;X;X;00000000000000;2019
10;1001;20;122;1;2090;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000038;6;8;2019;6.555,50;5296;0;N;0;0;"ENCERRAMENTO DE CONTRATO NA DATA DE 06/07/2019.";DPV;1;X;X;00000000000000;2019
3;301;4;122;1;2010;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000039;2;1;2019;44.261,00;5296;0;N;0;0;"INTERNET UTILIZADA PELA SECR. DE ADMINISTRACAO E SETORES NO EXERCICIO 2019.  VALOR MENSAL = R$ 737,69 MES:";DPV;1;X;X;00000000000000;2019
3;301;4;122;1;2010;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000039;6;8;2019;13.664,50;5296;0;N;0;0;"ENCERRAMENTO DE CONTRATO NA DATA DE 06/07/2019.";DPV;1;X;X;00000000000000;2019
5;501;4;122;1;2016;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000040;2;1;2019;39.355,00;5296;0;N;0;0;"INTERNET  UTILIZADA  PELA  SECR. DE EDUCACAO E SETORES NO EXERCICIO 2019. VALOR MENSAL = R$ 655,92 FAT. MES:";DPV;1;X;X;00000000000000;2019
5;501;4;122;1;2016;339039580200000;"33 90 39 58 02 00 00";1;0;0201900000040;6;8;2019;13.118,00;5296;0;N;0;0;"ENCERRAMENTO DE CONTRATO NA DATA DE 06/07/2019.";DPV;1;X;X;00000000000000;2019
5;502;12;361;2;2018;339039430000000;"33 90 39 43 00 00 00";20;0;0201900000041;2;1;2019;15.000,00;224;0;N;0;0;"ENERGIA  ELETRICA  UTILIZADA  NA  ESCOLA  MUNICIPAL  PRIMEIRO  DE  MAIO, NO EXERCICIO 2019. MES: FAT. No: No CONOSCO: 7852 CONSUMO:";DPV;1;X;X;00000000000000;2019
8;801;10;301;6;2059;339039430000000;"33 90 39 43 00 00 00";40;0;0201900000042;2;1;2019;2.400,00;224;0;N;0;0;"ENERGIA  ELETRICA  UTILIZADA NO ESF DE ESQUINA ARAUJO, NO EXERCICIO 2019. MES: FAT. No: No CONOSCO: 7854 CONSUMO:";DPV;1;X;X;00000000000000;2019
8;801;10;301;6;2059;339039430000000;"33 90 39 43 00 00 00";40;0;0201900000043;2;1;2019;1.800,00;224;0;N;0;0;"ENERGIA  ELETRICA  UTILIZADA  NO  ESF DE SAO VALENTIM, NO EXERCICIO 2019. MES: FAT. No: No CONOSCO: 7855 CONSUMO:";DPV;1;X;X;00000000000000;2019
7;702;15;452;17;2045;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000044;2;1;2019;72.000,00;224;0;N;0;0;"ENERGIA  ELETRICA  UTILIZADA  NA  ILUMINACAO  PUBLICA, NO EXERCICIO 2019. MES: FAT. No: No CONOSCO: 13274 CONSUMO:";DPV;1;X;X;00000000000000;2019
11;1101;28;843;0;5;469171990100000;"46 91 71 99 01 00 00";1;0;0201900000046;2;1;2019;671.309,00;3960;0;N;0;0;"PARCELA  167/360  A  178/360  DO  PARCELAMENTO DA DIVIDA COM O FAPS CFE LEI 1623/2005,  CORRIGIDA  PELA LEI 2848/2018. PERIODO DE JANEIRO A DEZEMBRO DE 2019. PISO SALARIAL R$ 446,29 x 25,07 = R$ 11.188,49. MES: VENC. 10/  /2019 PARCELA:  /360";NSA;6;X;X;00000000000000;2019
3;301;4;122;1;2003;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000047;2;1;2019;17.000,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA  ELETRICA UTILIZADA NO PREDIO DO PALACIO MUNICIPAL REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082467685 CONSUMO:";DPV;1;X;X;00000000000000;2019
6;601;26;122;1;2032;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000048;2;1;2019;54.000,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA ELETRICA UTILIZADA NO PARQUE DE MAQUINAS REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082467660 CONSUMO:";DPV;1;X;X;00000000000000;2019
6;601;26;122;1;2032;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000049;2;1;2019;18.000,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA  ELETRICA UTILIZADA NA OFICINA MUNICIPAL REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3085069531 CONSUMO:";DPV;1;X;X;00000000000000;2019
5;503;27;812;3;2029;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000050;2;1;2019;1.500,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA  ELETRICA UTILIZADA NO ESTADIO MUNICIPAL REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082467825 CONSUMO:";DPV;1;X;X;00000000000000;2019
5;503;27;812;3;2029;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000051;2;1;2019;4.750,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA  ELETRICA  UTILIZADA NA PRACA JOAO SAFFI REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082467689 CONSUMO:";DPV;1;X;X;00000000000000;2019
7;702;15;451;17;2041;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000052;2;1;2019;6.000,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA  ELETRICA  UTILIZADA NA PRACA VILA UNIAO REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3085573325 CONSUMO:";DPV;1;X;X;00000000000000;2019
9;902;8;241;11;2077;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000053;2;1;2019;98,50;1169;0;N;0;0;"AJUSTE SOMENTE PARA A FATURA DE COMPETENCIA DE JANEIRO DE 2019.";DPV;1;X;X;00000000000000;2019
9;902;8;241;11;2077;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000053;2;1;2019;2.925,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA  ELETRICA  UTILIZADA  NO CENTRO DE AMPARO AO IDOSO REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3085151186 CONSUMO:";DPV;1;X;X;00000000000000;2019
9;901;8;122;11;2075;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000054;2;1;2019;30.000,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA  ELETRICA UTILIZADA NA SECR. DE ASSISTENCIA SOCIAL REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082467680 CONSUMO:";DPV;1;X;X;00000000000000;2019
5;503;13;392;3;2026;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000055;2;1;2019;4.200,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA ELETRICA UTILIZADA NA BIBLIOTECA MUNICIPAL E MUSEU REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3085141606 CONSUMO:";DPV;1;X;X;00000000000000;2019
2;204;8;243;11;2009;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000056;2;1;2019;10.200,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA  ELETRICA  UTILIZADA NO CONSELHO TUTELAR REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082467811 CONSUMO:";DPV;1;X;X;00000000000000;2019
3;301;4;122;1;2010;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000057;2;1;2019;1.800,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA ELETRICA UTILIZADA NO ANTIGO PREDIO DO CONSELHO TUTELAR REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082483862 CONSUMO:";DPV;1;X;X;00000000000000;2019
5;502;12;365;2;2022;339039430000000;"33 90 39 43 00 00 00";20;0;0201900000058;2;1;2019;8.600,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA  ELETRICA  UTILIZADA  NA  E.M.E.I.  LAR DA CRIANCA REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082467807 CONSUMO:";DPV;1;X;X;00000000000000;2019
5;502;12;365;2;2022;339039430000000;"33 90 39 43 00 00 00";20;0;0201900000058;2;1;2019;1.655,50;1169;0;N;0;0;"AJUSTE SOMENTE PARA A FATURA DE COMPETENCIA DE JANEIRO DE 2019.";DPV;1;X;X;00000000000000;2019
8;801;10;302;8;2065;339039430000000;"33 90 39 43 00 00 00";40;0;0201900000059;2;1;2019;165.000,00;1169;0;N;0;0;"TARIFA  DE ENERGIA ELETRICA UTILIZADA NA UNIDADE DE PRONTO ATENDIMENTO REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082467691 CONSUMO:";DPV;1;X;X;00000000000000;2019
8;801;10;301;6;2059;339039430000000;"33 90 39 43 00 00 00";40;0;0201900000060;2;1;2019;47.400,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA  ELETRICA  UTILIZADA  NO ESF 01 REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3085733400 CONSUMO:";DPV;1;X;X;00000000000000;2019
7;702;15;452;17;2045;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000061;2;1;2019;75.000,00;1169;0;N;0;0;"TARIFA  DE  ENERGIA ELETRICA UTILIZADA NA ILUMINACAO PUBLICA REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082467837 CONSUMO:";DPV;1;X;X;00000000000000;2019
7;702;15;452;17;2045;339039430000000;"33 90 39 43 00 00 00";1;0;0201900000061;2;1;2019;5.401,50;1169;0;N;0;0;"VALOR EMPENHADO A MAIOR REF. FAT. JANEIRO";DPV;1;X;X;00000000000000;2019
7;702;15;452;17;2045;339039250000000;"33 90 39 25 00 00 00";1;0;0201900000062;2;1;2019;250.000,00;1169;0;N;0;0;"VALOR EMPENHADO A MAIOR ERRONEAMENTE.";DPV;1;X;X;00000000000000;2019
7;702;15;452;17;2045;339039250000000;"33 90 39 25 00 00 00";1;0;0201900000062;2;1;2019;275.000,00;1169;0;N;0;0;"TAXA  DE  ADMINISTRACAO  PELA  COBRANCA  DA CIP ATRAVES DA CONTA DE ENERGIA ELETRICA REF. EXERCICIO 2019. MES: FAT. No: No CONOSCO: 3082467837";DPV;1;X;X;00000000000000;2019
6;601;26;122;1;2032;339039580100000;"33 90 39 58 01 00 00";1;0;0201900000063;2;1;2019;16.500,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES DA LINHA 3539-1202 DA SECRETARIA DE OBRAS NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
2;204;8;243;11;2009;339039580100000;"33 90 39 58 01 00 00";1;0;0201900000064;2;1;2019;5.500,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA  LINHA 3539-1255 DO CONSELHO TUTELAR NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
2;204;8;243;11;2009;339039580100000;"33 90 39 58 01 00 00";1;0;0201900000064;31;1;2019;500,00;149;0;N;0;0;"AJUSTE DA DOTACAO PARA CELULAR VIVO, CONSELHO TUTELAR";DPV;1;X;X;00000000000000;2019
8;801;10;301;6;2059;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000065;2;1;2019;12.100,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA LINHA 3539-1107 DO ESF 01 NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
8;801;10;302;8;2065;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000066;2;1;2019;12.100,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA  LINHA  3539-1118  DO PRONTO ATENDIMENTO NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
8;801;10;301;6;2059;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000067;2;1;2019;8.250,00;149;0;N;0;0;"LIGACOES  TELEFONICAS  REALIZADAS  ATRAVES  DA LINHA 3539-1495 DO ESF 01 NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
8;801;10;305;7;2073;339039580100000;"33 90 39 58 01 00 00";40;0;0201900000068;2;1;2019;11.000,00;149;0;N;0;0;"LIGACOES   TELEFONICAS  REALIZADAS  ATRAVES  DA  LINHA  3539-1534  DA  VIG. EPIDEMIOLOGICA NO EXERCICIO DE 2019. FATURA No REF. MES.";DPV;1;X;X;00000000000000;2019
9;903;16;482;16;2089;339048010300000;"33 90 48 01 03 00 00";1;0;0201900000069;2;1;2019;3.282,00;5003;0;N;0;0;"AUXILIO  NOS TERMOS DAS LEIS No2116/09 E 2288/11 E CONTRATO No 6.5555.0796. 114-7 REF. EXERCICIO 2019. PARC. No /120.";NSA;6;X;X;00000000000000;2019
